id,item_id,dept_id,cat_id,store_id,state_id,bottom_roll_7_sum,bottom_roll_14_sum,bottom_roll_28_sum,bottom_zero_rate_28,bottom_trend_28_vs_prior,item_all_store_roll_28_sum,dept_store_roll_28_sum,cat_store_roll_28_sum,store_roll_28_sum,state_cat_roll_28_sum,item_all_store_prior_28_sum,dept_store_prior_28_sum,item_all_store_trend,dept_store_trend
HOBBIES_1_001_CA_1_evaluation,HOBBIES_1_001,HOBBIES_1,HOBBIES,CA_1,CA,8,13,27,0.42857142857142855,0.9655172413793104,145,13992,15053,127955,53057,166,12977,0.874251497005988,1.0782092772384035
HOBBIES_1_002_CA_1_evaluation,HOBBIES_1_002,HOBBIES_1,HOBBIES,CA_1,CA,1,1,2,0.9285714285714286,0.3,69,13992,15053,127955,53057,71,12977,0.9722222222222222,1.0782092772384035
HOBBIES_1_003_CA_1_evaluation,HOBBIES_1_003,HOBBIES_1,HOBBIES,CA_1,CA,6,14,16,0.5357142857142857,1.0625,83,13992,15053,127955,53057,75,12977,1.105263157894737,1.0782092772384035
HOBBIES_1_004_CA_1_evaluation,HOBBIES_1_004,HOBBIES_1,HOBBIES,CA_1,CA,18,29,51,0.32142857142857145,0.9629629629629629,448,13992,15053,127955,53057,447,12977,1.0022321428571428,1.0782092772384035
HOBBIES_1_005_CA_1_evaluation,HOBBIES_1_005,HOBBIES_1,HOBBIES,CA_1,CA,12,20,38,0.25,1.21875,259,13992,15053,127955,53057,322,12977,0.804953560371517,1.0782092772384035
HOBBIES_1_006_CA_1_evaluation,HOBBIES_1_006,HOBBIES_1,HOBBIES,CA_1,CA,3,9,17,0.6785714285714286,0.5625,219,13992,15053,127955,53057,238,12977,0.9205020920502092,1.0782092772384035
HOBBIES_1_007_CA_1_evaluation,HOBBIES_1_007,HOBBIES_1,HOBBIES,CA_1,CA,4,5,11,0.6428571428571429,0.9230769230769231,81,13992,15053,127955,53057,80,12977,1.0123456790123457,1.0782092772384035
HOBBIES_1_008_CA_1_evaluation,HOBBIES_1_008,HOBBIES_1,HOBBIES,CA_1,CA,56,76,228,0.14285714285714285,1.6013986013986015,1129,13992,15053,127955,53057,853,12977,1.3231850117096018,1.0782092772384035
HOBBIES_1_009_CA_1_evaluation,HOBBIES_1_009,HOBBIES_1,HOBBIES,CA_1,CA,7,15,25,0.6428571428571429,2.6,238,13992,15053,127955,53057,103,12977,2.298076923076923,1.0782092772384035
HOBBIES_1_010_CA_1_evaluation,HOBBIES_1_010,HOBBIES_1,HOBBIES,CA_1,CA,4,6,19,0.5357142857142857,1.6666666666666667,163,13992,15053,127955,53057,127,12977,1.28125,1.0782092772384035
HOBBIES_1_011_CA_1_evaluation,HOBBIES_1_011,HOBBIES_1,HOBBIES,CA_1,CA,0,1,1,0.9642857142857143,0.4,27,13992,15053,127955,53057,44,12977,0.6222222222222222,1.0782092772384035
HOBBIES_1_012_CA_1_evaluation,HOBBIES_1_012,HOBBIES_1,HOBBIES,CA_1,CA,1,3,5,0.8214285714285714,1.2,77,13992,15053,127955,53057,67,12977,1.1470588235294117,1.0782092772384035
HOBBIES_1_013_CA_1_evaluation,HOBBIES_1_013,HOBBIES_1,HOBBIES,CA_1,CA,3,9,14,0.6071428571428571,1.5,113,13992,15053,127955,53057,96,12977,1.175257731958763,1.0782092772384035
HOBBIES_1_014_CA_1_evaluation,HOBBIES_1_014,HOBBIES_1,HOBBIES,CA_1,CA,8,19,42,0.2857142857142857,0.7049180327868853,636,13992,15053,127955,53057,719,12977,0.8847222222222222,1.0782092772384035
HOBBIES_1_015_CA_1_evaluation,HOBBIES_1_015,HOBBIES_1,HOBBIES,CA_1,CA,14,34,79,0.14285714285714285,0.7920792079207921,894,13992,15053,127955,53057,1006,12977,0.8887785501489573,1.0782092772384035
HOBBIES_1_016_CA_1_evaluation,HOBBIES_1_016,HOBBIES_1,HOBBIES,CA_1,CA,39,85,169,0.07142857142857142,1.2142857142857142,949,13992,15053,127955,53057,1000,12977,0.949050949050949,1.0782092772384035
HOBBIES_1_017_CA_1_evaluation,HOBBIES_1_017,HOBBIES_1,HOBBIES,CA_1,CA,9,21,39,0.4642857142857143,1.5384615384615385,289,13992,15053,127955,53057,232,12977,1.2446351931330473,1.0782092772384035
HOBBIES_1_018_CA_1_evaluation,HOBBIES_1_018,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,1.0,1.0,55,13992,15053,127955,53057,46,12977,1.1914893617021276,1.0782092772384035
HOBBIES_1_019_CA_1_evaluation,HOBBIES_1_019,HOBBIES_1,HOBBIES,CA_1,CA,38,143,286,0.07142857142857142,1.75,1261,13992,15053,127955,53057,1121,12977,1.124777183600713,1.0782092772384035
HOBBIES_1_020_CA_1_evaluation,HOBBIES_1_020,HOBBIES_1,HOBBIES,CA_1,CA,0,2,6,0.7857142857142857,0.875,72,13992,15053,127955,53057,81,12977,0.8902439024390244,1.0782092772384035
HOBBIES_1_021_CA_1_evaluation,HOBBIES_1_021,HOBBIES_1,HOBBIES,CA_1,CA,1,8,12,0.7142857142857143,0.7647058823529411,110,13992,15053,127955,53057,109,12977,1.009090909090909,1.0782092772384035
HOBBIES_1_022_CA_1_evaluation,HOBBIES_1_022,HOBBIES_1,HOBBIES,CA_1,CA,2,5,13,0.6428571428571429,1.2727272727272727,106,13992,15053,127955,53057,119,12977,0.8916666666666667,1.0782092772384035
HOBBIES_1_023_CA_1_evaluation,HOBBIES_1_023,HOBBIES_1,HOBBIES,CA_1,CA,10,17,39,0.35714285714285715,1.6,417,13992,15053,127955,53057,271,12977,1.536764705882353,1.0782092772384035
HOBBIES_1_024_CA_1_evaluation,HOBBIES_1_024,HOBBIES_1,HOBBIES,CA_1,CA,2,3,3,0.9285714285714286,1.3333333333333333,70,13992,15053,127955,53057,63,12977,1.109375,1.0782092772384035
HOBBIES_1_025_CA_1_evaluation,HOBBIES_1_025,HOBBIES_1,HOBBIES,CA_1,CA,8,10,18,0.5357142857142857,1.1875,154,13992,15053,127955,53057,120,12977,1.28099173553719,1.0782092772384035
HOBBIES_1_026_CA_1_evaluation,HOBBIES_1_026,HOBBIES_1,HOBBIES,CA_1,CA,1,4,7,0.75,1.1428571428571428,104,13992,15053,127955,53057,107,12977,0.9722222222222222,1.0782092772384035
HOBBIES_1_027_CA_1_evaluation,HOBBIES_1_027,HOBBIES_1,HOBBIES,CA_1,CA,3,3,10,0.7142857142857143,0.7857142857142857,76,13992,15053,127955,53057,70,12977,1.0845070422535212,1.0782092772384035
HOBBIES_1_028_CA_1_evaluation,HOBBIES_1_028,HOBBIES_1,HOBBIES,CA_1,CA,6,9,19,0.39285714285714285,0.9523809523809523,121,13992,15053,127955,53057,112,12977,1.079646017699115,1.0782092772384035
HOBBIES_1_029_CA_1_evaluation,HOBBIES_1_029,HOBBIES_1,HOBBIES,CA_1,CA,11,22,46,0.35714285714285715,0.9591836734693877,326,13992,15053,127955,53057,300,12977,1.0863787375415281,1.0782092772384035
HOBBIES_1_030_CA_1_evaluation,HOBBIES_1_030,HOBBIES_1,HOBBIES,CA_1,CA,55,92,172,0.4642857142857143,1.108974358974359,783,13992,15053,127955,53057,745,12977,1.0509383378016086,1.0782092772384035
HOBBIES_1_031_CA_1_evaluation,HOBBIES_1_031,HOBBIES_1,HOBBIES,CA_1,CA,0,0,7,0.75,0.6153846153846154,90,13992,15053,127955,53057,75,12977,1.1973684210526316,1.0782092772384035
HOBBIES_1_032_CA_1_evaluation,HOBBIES_1_032,HOBBIES_1,HOBBIES,CA_1,CA,19,35,81,0.5,0.7454545454545455,949,13992,15053,127955,53057,971,12977,0.977366255144033,1.0782092772384035
HOBBIES_1_033_CA_1_evaluation,HOBBIES_1_033,HOBBIES_1,HOBBIES,CA_1,CA,0,2,5,0.8214285714285714,0.35294117647058826,68,13992,15053,127955,53057,97,12977,0.7040816326530612,1.0782092772384035
HOBBIES_1_034_CA_1_evaluation,HOBBIES_1_034,HOBBIES_1,HOBBIES,CA_1,CA,1,5,16,0.6071428571428571,0.85,158,13992,15053,127955,53057,140,12977,1.127659574468085,1.0782092772384035
HOBBIES_1_035_CA_1_evaluation,HOBBIES_1_035,HOBBIES_1,HOBBIES,CA_1,CA,0,2,7,0.75,4.0,47,13992,15053,127955,53057,57,12977,0.8275862068965517,1.0782092772384035
HOBBIES_1_036_CA_1_evaluation,HOBBIES_1_036,HOBBIES_1,HOBBIES,CA_1,CA,3,13,28,0.6428571428571429,1.6111111111111112,167,13992,15053,127955,53057,161,12977,1.037037037037037,1.0782092772384035
HOBBIES_1_037_CA_1_evaluation,HOBBIES_1_037,HOBBIES_1,HOBBIES,CA_1,CA,7,11,19,0.4642857142857143,0.9090909090909091,256,13992,15053,127955,53057,284,12977,0.9017543859649123,1.0782092772384035
HOBBIES_1_038_CA_1_evaluation,HOBBIES_1_038,HOBBIES_1,HOBBIES,CA_1,CA,8,8,16,0.6428571428571429,1.3076923076923077,97,13992,15053,127955,53057,74,12977,1.3066666666666666,1.0782092772384035
HOBBIES_1_039_CA_1_evaluation,HOBBIES_1_039,HOBBIES_1,HOBBIES,CA_1,CA,1,2,5,0.8214285714285714,1.0,36,13992,15053,127955,53057,33,12977,1.088235294117647,1.0782092772384035
HOBBIES_1_040_CA_1_evaluation,HOBBIES_1_040,HOBBIES_1,HOBBIES,CA_1,CA,4,9,28,0.42857142857142855,1.2608695652173914,296,13992,15053,127955,53057,273,12977,1.083941605839416,1.0782092772384035
HOBBIES_1_041_CA_1_evaluation,HOBBIES_1_041,HOBBIES_1,HOBBIES,CA_1,CA,2,2,6,0.8571428571428571,0.7,61,13992,15053,127955,53057,69,12977,0.8857142857142857,1.0782092772384035
HOBBIES_1_042_CA_1_evaluation,HOBBIES_1_042,HOBBIES_1,HOBBIES,CA_1,CA,5,8,16,0.5714285714285714,1.3076923076923077,114,13992,15053,127955,53057,114,12977,1.0,1.0782092772384035
HOBBIES_1_043_CA_1_evaluation,HOBBIES_1_043,HOBBIES_1,HOBBIES,CA_1,CA,0,8,46,0.5,0.7121212121212122,814,13992,15053,127955,53057,692,12977,1.176046176046176,1.0782092772384035
HOBBIES_1_044_CA_1_evaluation,HOBBIES_1_044,HOBBIES_1,HOBBIES,CA_1,CA,8,8,14,0.7142857142857143,1.5,95,13992,15053,127955,53057,90,12977,1.054945054945055,1.0782092772384035
HOBBIES_1_045_CA_1_evaluation,HOBBIES_1_045,HOBBIES_1,HOBBIES,CA_1,CA,2,4,7,0.8214285714285714,0.8,29,13992,15053,127955,53057,27,12977,1.0714285714285714,1.0782092772384035
HOBBIES_1_046_CA_1_evaluation,HOBBIES_1_046,HOBBIES_1,HOBBIES,CA_1,CA,5,10,27,0.32142857142857145,0.8,144,13992,15053,127955,53057,149,12977,0.9666666666666667,1.0782092772384035
HOBBIES_1_047_CA_1_evaluation,HOBBIES_1_047,HOBBIES_1,HOBBIES,CA_1,CA,0,10,32,0.5714285714285714,8.25,140,13992,15053,127955,53057,73,12977,1.9054054054054055,1.0782092772384035
HOBBIES_1_048_CA_1_evaluation,HOBBIES_1_048,HOBBIES_1,HOBBIES,CA_1,CA,109,222,440,0.0,1.011467889908257,2103,13992,15053,127955,53057,2104,12977,0.9995249406175772,1.0782092772384035
HOBBIES_1_049_CA_1_evaluation,HOBBIES_1_049,HOBBIES_1,HOBBIES,CA_1,CA,3,8,13,0.6071428571428571,0.9333333333333333,114,13992,15053,127955,53057,115,12977,0.9913793103448276,1.0782092772384035
HOBBIES_1_050_CA_1_evaluation,HOBBIES_1_050,HOBBIES_1,HOBBIES,CA_1,CA,5,22,60,0.17857142857142858,1.525,167,13992,15053,127955,53057,148,12977,1.1275167785234899,1.0782092772384035
HOBBIES_1_051_CA_1_evaluation,HOBBIES_1_051,HOBBIES_1,HOBBIES,CA_1,CA,1,2,5,0.8214285714285714,0.8571428571428571,58,13992,15053,127955,53057,50,12977,1.1568627450980393,1.0782092772384035
HOBBIES_1_052_CA_1_evaluation,HOBBIES_1_052,HOBBIES_1,HOBBIES,CA_1,CA,1,2,6,0.7857142857142857,2.3333333333333335,32,13992,15053,127955,53057,33,12977,0.9705882352941176,1.0782092772384035
HOBBIES_1_053_CA_1_evaluation,HOBBIES_1_053,HOBBIES_1,HOBBIES,CA_1,CA,0,6,6,0.9642857142857143,2.3333333333333335,108,13992,15053,127955,53057,64,12977,1.676923076923077,1.0782092772384035
HOBBIES_1_054_CA_1_evaluation,HOBBIES_1_054,HOBBIES_1,HOBBIES,CA_1,CA,1,2,2,0.9285714285714286,0.2727272727272727,38,13992,15053,127955,53057,38,12977,1.0,1.0782092772384035
HOBBIES_1_055_CA_1_evaluation,HOBBIES_1_055,HOBBIES_1,HOBBIES,CA_1,CA,24,39,63,0.07142857142857142,1.0158730158730158,325,13992,15053,127955,53057,322,12977,1.0092879256965945,1.0782092772384035
HOBBIES_1_056_CA_1_evaluation,HOBBIES_1_056,HOBBIES_1,HOBBIES,CA_1,CA,5,20,39,0.32142857142857145,1.0,559,13992,15053,127955,53057,540,12977,1.0351201478743068,1.0782092772384035
HOBBIES_1_057_CA_1_evaluation,HOBBIES_1_057,HOBBIES_1,HOBBIES,CA_1,CA,8,11,18,0.4642857142857143,1.2666666666666666,132,13992,15053,127955,53057,119,12977,1.1083333333333334,1.0782092772384035
HOBBIES_1_058_CA_1_evaluation,HOBBIES_1_058,HOBBIES_1,HOBBIES,CA_1,CA,4,7,10,0.75,0.8461538461538461,53,13992,15053,127955,53057,65,12977,0.8181818181818182,1.0782092772384035
HOBBIES_1_060_CA_1_evaluation,HOBBIES_1_060,HOBBIES_1,HOBBIES,CA_1,CA,3,5,11,0.75,1.0909090909090908,95,13992,15053,127955,53057,87,12977,1.0909090909090908,1.0782092772384035
HOBBIES_1_061_CA_1_evaluation,HOBBIES_1_061,HOBBIES_1,HOBBIES,CA_1,CA,0,2,2,0.9285714285714286,0.75,89,13992,15053,127955,53057,88,12977,1.0112359550561798,1.0782092772384035
HOBBIES_1_062_CA_1_evaluation,HOBBIES_1_062,HOBBIES_1,HOBBIES,CA_1,CA,0,3,5,0.8571428571428571,3.0,40,13992,15053,127955,53057,19,12977,2.05,1.0782092772384035
HOBBIES_1_063_CA_1_evaluation,HOBBIES_1_063,HOBBIES_1,HOBBIES,CA_1,CA,0,0,4,0.8571428571428571,0.8333333333333334,65,13992,15053,127955,53057,75,12977,0.868421052631579,1.0782092772384035
HOBBIES_1_064_CA_1_evaluation,HOBBIES_1_064,HOBBIES_1,HOBBIES,CA_1,CA,7,26,54,0.32142857142857145,1.2222222222222223,365,13992,15053,127955,53057,429,12977,0.8511627906976744,1.0782092772384035
HOBBIES_1_065_CA_1_evaluation,HOBBIES_1_065,HOBBIES_1,HOBBIES,CA_1,CA,0,0,2,0.9285714285714286,1.0,30,13992,15053,127955,53057,35,12977,0.8611111111111112,1.0782092772384035
HOBBIES_1_066_CA_1_evaluation,HOBBIES_1_066,HOBBIES_1,HOBBIES,CA_1,CA,6,15,17,0.75,0.6428571428571429,132,13992,15053,127955,53057,168,12977,0.7869822485207101,1.0782092772384035
HOBBIES_1_067_CA_1_evaluation,HOBBIES_1_067,HOBBIES_1,HOBBIES,CA_1,CA,28,40,96,0.32142857142857145,1.6724137931034482,894,13992,15053,127955,53057,839,12977,1.0654761904761905,1.0782092772384035
HOBBIES_1_068_CA_1_evaluation,HOBBIES_1_068,HOBBIES_1,HOBBIES,CA_1,CA,2,8,18,0.5714285714285714,0.6551724137931034,113,13992,15053,127955,53057,119,12977,0.95,1.0782092772384035
HOBBIES_1_069_CA_1_evaluation,HOBBIES_1_069,HOBBIES_1,HOBBIES,CA_1,CA,1,4,7,0.7857142857142857,0.42105263157894735,56,13992,15053,127955,53057,70,12977,0.8028169014084507,1.0782092772384035
HOBBIES_1_070_CA_1_evaluation,HOBBIES_1_070,HOBBIES_1,HOBBIES,CA_1,CA,0,0,3,0.8928571428571429,4.0,30,13992,15053,127955,53057,28,12977,1.0689655172413792,1.0782092772384035
HOBBIES_1_072_CA_1_evaluation,HOBBIES_1_072,HOBBIES_1,HOBBIES,CA_1,CA,4,12,25,0.42857142857142855,1.3,147,13992,15053,127955,53057,140,12977,1.049645390070922,1.0782092772384035
HOBBIES_1_073_CA_1_evaluation,HOBBIES_1_073,HOBBIES_1,HOBBIES,CA_1,CA,4,5,14,0.6071428571428571,0.9375,191,13992,15053,127955,53057,185,12977,1.032258064516129,1.0782092772384035
HOBBIES_1_074_CA_1_evaluation,HOBBIES_1_074,HOBBIES_1,HOBBIES,CA_1,CA,9,11,25,0.5,0.6666666666666666,323,13992,15053,127955,53057,330,12977,0.9788519637462235,1.0782092772384035
HOBBIES_1_075_CA_1_evaluation,HOBBIES_1_075,HOBBIES_1,HOBBIES,CA_1,CA,1,4,10,0.75,0.7857142857142857,87,13992,15053,127955,53057,92,12977,0.946236559139785,1.0782092772384035
HOBBIES_1_076_CA_1_evaluation,HOBBIES_1_076,HOBBIES_1,HOBBIES,CA_1,CA,2,8,21,0.5,0.7857142857142857,309,13992,15053,127955,53057,221,12977,1.3963963963963963,1.0782092772384035
HOBBIES_1_077_CA_1_evaluation,HOBBIES_1_077,HOBBIES_1,HOBBIES,CA_1,CA,2,6,17,0.5714285714285714,1.5,81,13992,15053,127955,53057,96,12977,0.845360824742268,1.0782092772384035
HOBBIES_1_078_CA_1_evaluation,HOBBIES_1_078,HOBBIES_1,HOBBIES,CA_1,CA,13,20,46,0.2857142857142857,0.8867924528301887,227,13992,15053,127955,53057,206,12977,1.1014492753623188,1.0782092772384035
HOBBIES_1_079_CA_1_evaluation,HOBBIES_1_079,HOBBIES_1,HOBBIES,CA_1,CA,3,6,16,0.5714285714285714,0.68,173,13992,15053,127955,53057,202,12977,0.8571428571428571,1.0782092772384035
HOBBIES_1_080_CA_1_evaluation,HOBBIES_1_080,HOBBIES_1,HOBBIES,CA_1,CA,21,21,22,0.8571428571428571,0.71875,523,13992,15053,127955,53057,575,12977,0.9097222222222222,1.0782092772384035
HOBBIES_1_081_CA_1_evaluation,HOBBIES_1_081,HOBBIES_1,HOBBIES,CA_1,CA,7,12,23,0.39285714285714285,1.5,142,13992,15053,127955,53057,140,12977,1.0141843971631206,1.0782092772384035
HOBBIES_1_082_CA_1_evaluation,HOBBIES_1_082,HOBBIES_1,HOBBIES,CA_1,CA,1,2,3,0.8928571428571429,0.8,39,13992,15053,127955,53057,47,12977,0.8333333333333334,1.0782092772384035
HOBBIES_1_083_CA_1_evaluation,HOBBIES_1_083,HOBBIES_1,HOBBIES,CA_1,CA,4,8,23,0.39285714285714285,1.1428571428571428,94,13992,15053,127955,53057,103,12977,0.9134615384615384,1.0782092772384035
HOBBIES_1_084_CA_1_evaluation,HOBBIES_1_084,HOBBIES_1,HOBBIES,CA_1,CA,10,20,39,0.10714285714285714,1.1764705882352942,319,13992,15053,127955,53057,261,12977,1.2213740458015268,1.0782092772384035
HOBBIES_1_085_CA_1_evaluation,HOBBIES_1_085,HOBBIES_1,HOBBIES,CA_1,CA,8,23,44,0.25,1.25,180,13992,15053,127955,53057,134,12977,1.3407407407407408,1.0782092772384035
HOBBIES_1_086_CA_1_evaluation,HOBBIES_1_086,HOBBIES_1,HOBBIES,CA_1,CA,6,16,32,0.35714285714285715,0.8918918918918919,206,13992,15053,127955,53057,238,12977,0.8661087866108786,1.0782092772384035
HOBBIES_1_087_CA_1_evaluation,HOBBIES_1_087,HOBBIES_1,HOBBIES,CA_1,CA,4,4,4,0.8928571428571429,5.0,62,13992,15053,127955,53057,1,12977,31.5,1.0782092772384035
HOBBIES_1_088_CA_1_evaluation,HOBBIES_1_088,HOBBIES_1,HOBBIES,CA_1,CA,6,7,12,0.8571428571428571,1.625,112,13992,15053,127955,53057,113,12977,0.9912280701754386,1.0782092772384035
HOBBIES_1_089_CA_1_evaluation,HOBBIES_1_089,HOBBIES_1,HOBBIES,CA_1,CA,6,26,56,0.21428571428571427,0.890625,268,13992,15053,127955,53057,302,12977,0.8877887788778878,1.0782092772384035
HOBBIES_1_090_CA_1_evaluation,HOBBIES_1_090,HOBBIES_1,HOBBIES,CA_1,CA,20,61,146,0.35714285714285715,1.1395348837209303,570,13992,15053,127955,53057,482,12977,1.1821946169772257,1.0782092772384035
HOBBIES_1_091_CA_1_evaluation,HOBBIES_1_091,HOBBIES_1,HOBBIES,CA_1,CA,7,28,56,0.42857142857142855,1.1176470588235294,186,13992,15053,127955,53057,168,12977,1.106508875739645,1.0782092772384035
HOBBIES_1_092_CA_1_evaluation,HOBBIES_1_092,HOBBIES_1,HOBBIES,CA_1,CA,0,0,1,0.9642857142857143,0.6666666666666666,104,13992,15053,127955,53057,83,12977,1.25,1.0782092772384035
HOBBIES_1_093_CA_1_evaluation,HOBBIES_1_093,HOBBIES_1,HOBBIES,CA_1,CA,2,2,7,0.75,0.8,57,13992,15053,127955,53057,57,12977,1.0,1.0782092772384035
HOBBIES_1_094_CA_1_evaluation,HOBBIES_1_094,HOBBIES_1,HOBBIES,CA_1,CA,1,1,1,0.9642857142857143,0.14285714285714285,69,13992,15053,127955,53057,61,12977,1.1290322580645162,1.0782092772384035
HOBBIES_1_095_CA_1_evaluation,HOBBIES_1_095,HOBBIES_1,HOBBIES,CA_1,CA,0,0,0,1.0,1.0,85,13992,15053,127955,53057,72,12977,1.178082191780822,1.0782092772384035
HOBBIES_1_097_CA_1_evaluation,HOBBIES_1_097,HOBBIES_1,HOBBIES,CA_1,CA,1,4,7,0.75,2.0,129,13992,15053,127955,53057,122,12977,1.056910569105691,1.0782092772384035
HOBBIES_1_098_CA_1_evaluation,HOBBIES_1_098,HOBBIES_1,HOBBIES,CA_1,CA,3,9,20,0.42857142857142855,1.105263157894737,230,13992,15053,127955,53057,273,12977,0.843065693430657,1.0782092772384035
HOBBIES_1_099_CA_1_evaluation,HOBBIES_1_099,HOBBIES_1,HOBBIES,CA_1,CA,5,8,23,0.5357142857142857,0.8888888888888888,304,13992,15053,127955,53057,277,12977,1.0971223021582734,1.0782092772384035
HOBBIES_1_100_CA_1_evaluation,HOBBIES_1_100,HOBBIES_1,HOBBIES,CA_1,CA,7,14,21,0.4642857142857143,0.9565217391304348,114,13992,15053,127955,53057,125,12977,0.9126984126984127,1.0782092772384035
HOBBIES_1_102_CA_1_evaluation,HOBBIES_1_102,HOBBIES_1,HOBBIES,CA_1,CA,2,2,3,0.8928571428571429,0.5714285714285714,45,13992,15053,127955,53057,68,12977,0.6666666666666666,1.0782092772384035
HOBBIES_1_103_CA_1_evaluation,HOBBIES_1_103,HOBBIES_1,HOBBIES,CA_1,CA,23,51,86,0.2857142857142857,1.12987012987013,1036,13992,15053,127955,53057,1022,12977,1.013685239491691,1.0782092772384035
HOBBIES_1_104_CA_1_evaluation,HOBBIES_1_104,HOBBIES_1,HOBBIES,CA_1,CA,2,4,9,0.7142857142857143,0.9090909090909091,93,13992,15053,127955,53057,109,12977,0.8545454545454545,1.0782092772384035
HOBBIES_1_105_CA_1_evaluation,HOBBIES_1_105,HOBBIES_1,HOBBIES,CA_1,CA,0,4,9,0.7857142857142857,1.1111111111111112,156,13992,15053,127955,53057,148,12977,1.0536912751677852,1.0782092772384035
HOBBIES_1_106_CA_1_evaluation,HOBBIES_1_106,HOBBIES_1,HOBBIES,CA_1,CA,4,8,16,0.6785714285714286,1.1333333333333333,100,13992,15053,127955,53057,106,12977,0.9439252336448598,1.0782092772384035
HOBBIES_1_107_CA_1_evaluation,HOBBIES_1_107,HOBBIES_1,HOBBIES,CA_1,CA,0,4,8,0.7142857142857143,1.0,79,13992,15053,127955,53057,75,12977,1.0526315789473684,1.0782092772384035
HOBBIES_1_108_CA_1_evaluation,HOBBIES_1_108,HOBBIES_1,HOBBIES,CA_1,CA,9,13,24,0.5357142857142857,0.78125,243,13992,15053,127955,53057,266,12977,0.9138576779026217,1.0782092772384035
HOBBIES_1_109_CA_1_evaluation,HOBBIES_1_109,HOBBIES_1,HOBBIES,CA_1,CA,4,11,22,0.39285714285714285,1.9166666666666667,100,13992,15053,127955,53057,80,12977,1.2469135802469136,1.0782092772384035
HOBBIES_1_110_CA_1_evaluation,HOBBIES_1_110,HOBBIES_1,HOBBIES,CA_1,CA,1,3,4,0.8928571428571429,0.8333333333333334,59,13992,15053,127955,53057,41,12977,1.4285714285714286,1.0782092772384035
HOBBIES_1_111_CA_1_evaluation,HOBBIES_1_111,HOBBIES_1,HOBBIES,CA_1,CA,2,5,11,0.7142857142857143,0.8,103,13992,15053,127955,53057,95,12977,1.0833333333333333,1.0782092772384035
HOBBIES_1_112_CA_1_evaluation,HOBBIES_1_112,HOBBIES_1,HOBBIES,CA_1,CA,0,1,3,0.9285714285714286,4.0,35,13992,15053,127955,53057,11,12977,3.0,1.0782092772384035
HOBBIES_1_113_CA_1_evaluation,HOBBIES_1_113,HOBBIES_1,HOBBIES,CA_1,CA,1,3,5,0.8571428571428571,2.0,58,13992,15053,127955,53057,56,12977,1.0350877192982457,1.0782092772384035
HOBBIES_1_114_CA_1_evaluation,HOBBIES_1_114,HOBBIES_1,HOBBIES,CA_1,CA,1,2,2,0.9285714285714286,0.375,49,13992,15053,127955,53057,52,12977,0.9433962264150944,1.0782092772384035
HOBBIES_1_115_CA_1_evaluation,HOBBIES_1_115,HOBBIES_1,HOBBIES,CA_1,CA,1,3,12,0.75,0.5652173913043478,448,13992,15053,127955,53057,448,12977,1.0,1.0782092772384035
HOBBIES_1_116_CA_1_evaluation,HOBBIES_1_116,HOBBIES_1,HOBBIES,CA_1,CA,6,12,25,0.42857142857142855,1.625,159,13992,15053,127955,53057,121,12977,1.3114754098360655,1.0782092772384035
HOBBIES_1_117_CA_1_evaluation,HOBBIES_1_117,HOBBIES_1,HOBBIES,CA_1,CA,1,1,3,0.8928571428571429,0.4,41,13992,15053,127955,53057,55,12977,0.75,1.0782092772384035
HOBBIES_1_118_CA_1_evaluation,HOBBIES_1_118,HOBBIES_1,HOBBIES,CA_1,CA,5,5,9,0.7857142857142857,1.0,47,13992,15053,127955,53057,56,12977,0.8421052631578947,1.0782092772384035
HOBBIES_1_119_CA_1_evaluation,HOBBIES_1_119,HOBBIES_1,HOBBIES,CA_1,CA,5,5,21,0.75,0.6875,199,13992,15053,127955,53057,102,12977,1.941747572815534,1.0782092772384035
HOBBIES_1_120_CA_1_evaluation,HOBBIES_1_120,HOBBIES_1,HOBBIES,CA_1,CA,3,11,25,0.2857142857142857,1.0833333333333333,105,13992,15053,127955,53057,104,12977,1.0095238095238095,1.0782092772384035
HOBBIES_1_121_CA_1_evaluation,HOBBIES_1_121,HOBBIES_1,HOBBIES,CA_1,CA,9,9,9,0.8571428571428571,10.0,116,13992,15053,127955,53057,107,12977,1.0833333333333333,1.0782092772384035
HOBBIES_1_122_CA_1_evaluation,HOBBIES_1_122,HOBBIES_1,HOBBIES,CA_1,CA,0,21,40,0.75,1.9523809523809523,205,13992,15053,127955,53057,82,12977,2.4819277108433737,1.0782092772384035
HOBBIES_1_123_CA_1_evaluation,HOBBIES_1_123,HOBBIES_1,HOBBIES,CA_1,CA,9,12,26,0.5,1.173913043478261,133,13992,15053,127955,53057,139,12977,0.9571428571428572,1.0782092772384035
HOBBIES_1_124_CA_1_evaluation,HOBBIES_1_124,HOBBIES_1,HOBBIES,CA_1,CA,14,17,33,0.5,0.918918918918919,169,13992,15053,127955,53057,175,12977,0.9659090909090909,1.0782092772384035
